newid,Species,EEZ,timestay (1/30days),timestay^2 (1/30days)
367,4,214,30.0,900.0
368,4,214,30.0,900.0
369,4,214,30.0,900.0
370,4,214,30.0,900.0
371,4,214,30.0,900.0
372,4,214,30.0,900.0
373,4,214,30.0,900.0
374,4,214,30.0,900.0
375,4,214,30.0,900.0
376,4,214,30.0,900.0
377,4,214,30.0,900.0
378,4,214,30.0,900.0
379,4,214,30.0,900.0
380,4,214,30.0,900.0
381,4,214,30.0,900.0
382,4,214,30.0,900.0
383,4,214,30.0,900.0
384,4,214,30.0,900.0
385,4,214,30.0,900.0
386,4,214,29.999999999999996,899.9999999999998
387,4,214,30.0,900.0
388,4,214,30.0,900.0
389,4,214,30.000000000000004,900.0000000000002
390,4,214,30.0,900.0
391,4,214,30.000000000000004,900.0000000000002
392,4,214,30.0,900.0
393,4,214,30.0,900.0
394,4,214,30.000000000000004,900.0000000000002
395,4,214,30.0,900.0
396,4,214,30.0,900.0
397,4,214,30.0,900.0
398,4,214,30.0,900.0
399,4,214,30.0,900.0
400,4,214,30.000000000000004,900.0000000000002
401,4,214,30.0,900.0
402,4,214,30.0,900.0
403,4,214,30.0,900.0
404,4,214,29.999999999999996,899.9999999999998
405,4,214,30.0,900.0
406,4,214,29.999999999999996,899.9999999999998
407,4,214,30.000000000000004,900.0000000000002
408,4,214,29.999999999999996,899.9999999999998
409,4,214,30.0,900.0
410,4,214,30.0,900.0
411,4,214,30.0,900.0
412,4,214,29.999999999999996,899.9999999999998
413,4,214,30.0,900.0
414,4,214,30.000000000000004,900.0000000000002
415,4,214,30.0,900.0
416,4,214,30.000000000000004,900.0000000000002
417,4,214,30.0,900.0
418,4,214,30.0,900.0
419,4,214,30.0,900.0
420,4,214,30.0,900.0
421,4,214,30.0,900.0
422,4,214,30.0,900.0
423,4,214,29.999999999999996,899.9999999999998
424,4,214,30.000000000000004,900.0000000000002
425,4,214,30.0,900.0
426,4,214,30.0,900.0
427,4,214,30.0,900.0
428,4,214,30.0,900.0
429,4,214,30.0,900.0
430,4,214,30.000000000000004,900.0000000000002
431,4,214,29.999999999999996,899.9999999999998
432,4,214,30.0,900.0
433,4,214,29.999999999999996,899.9999999999998
434,4,214,30.0,900.0
435,4,214,30.0,900.0
436,4,214,29.999999999999996,899.9999999999998
437,4,214,29.999999999999996,899.9999999999998
438,4,214,30.0,900.0
439,4,214,30.0,900.0
440,4,214,30.0,900.0
441,4,214,30.0,900.0
442,4,214,30.000000000000004,900.0000000000002
443,4,214,30.000000000000004,900.0000000000002
444,4,214,30.0,900.0
445,4,214,30.0,900.0
446,4,214,30.000000000000004,900.0000000000002
447,4,214,30.0,900.0
448,4,214,30.0,900.0
449,4,214,29.999999999999996,899.9999999999998
450,4,214,30.0,900.0
451,4,214,30.0,900.0
452,4,214,30.0,900.0
453,4,214,30.000000000000004,900.0000000000002
454,4,214,30.0,900.0
455,4,214,30.0,900.0
456,4,214,30.0,900.0
457,4,214,30.0,900.0
458,4,214,30.0,900.0
459,4,214,30.0,900.0
460,4,214,30.0,900.0
461,4,214,30.0,900.0
462,4,214,30.000000000000004,900.0000000000002
463,4,214,30.0,900.0
464,4,214,30.0,900.0
465,4,214,30.0,900.0
466,4,214,30.0,900.0
467,4,214,30.0,900.0
468,4,214,30.0,900.0
469,4,214,30.0,900.0
470,4,214,30.0,900.0
471,4,214,30.0,900.0
472,4,214,29.999999999999996,899.9999999999998
473,4,214,30.0,900.0
474,4,214,30.0,900.0
475,4,214,30.0,900.0
476,4,214,30.0,900.0
477,4,214,30.0,900.0
478,4,214,30.000000000000004,900.0000000000002
479,4,214,30.0,900.0
480,4,214,29.999999999999996,899.9999999999998
481,4,214,30.0,900.0
482,4,214,30.0,900.0
483,4,214,30.0,900.0
484,4,214,30.000000000000004,900.0000000000002
485,4,214,30.0,900.0
486,4,214,30.0,900.0
487,4,214,30.0,900.0
488,4,214,30.0,900.0
489,4,214,29.999999999999996,899.9999999999998
490,4,214,30.0,900.0
491,4,214,30.000000000000004,900.0000000000002
