EEZ;newid
Canada;161
Canada;162
Canada;163
Canada;164
Canada;165
Canada;166
Canada;167
Canada;168
Canada;169
Canada;170
Canada;171
Canada;172
Canada;173
Canada;174
Canada;175
Canada;176
Canada;177
Canada;178
Canada;214
Canada;215
Canada;226
Canada;230
Canada;231
Canada;1829
Canada;1830
Canada;1831
Canada;1832
Canada;1833
Canada;1834
Canada;1835
Canada;1836
Canada;1837
Canada;1838
Canada;1839
Canada;1840
Canada;1841
Canada;1842
Canada;1843
Canada;1844
Canada;1845
Canada;1846
Canada;1847
Canada;1848
Canada;1849
Canada;1850
Canada;1851
Canada;1852
Canada;1853
Canada;1854
Canada;1855
Canada;1856
Canada;1857
Canada;1858
Canada;1859
Canada;1860
Canada;1861
Canada;1862
Canada;1863
Canada;1864
Canada;1865
Canada;1866
Canada;1867
Canada;1868
Canada;1869
Canada;1870
Canada;1871
Canada;1872
Canada;1873
Canada;1874
Canada;1875
Canada;1876
Canada;1877
Canada;1878
Canada;1879
Canada;1880
Canada;1881
Canada;1882
Canada;1883
Canada;1884
Canada;1885
Canada;1886
Canada;1887
Canada;2480
Canada;2531
Canada;2534
Canada;2579
Canada;2588
Canada;2596
Canada;2597
Canada;2603
Canada;2604
Canada;2667
Canada;2700
Canada;2701
Canada;2702
Canada;2703
Canada;2704
Canada;2705
Canada;2706
Canada;2707
Canada;2708
Canada;2709
Canada;2710
Canada;2711
Canada;2712
Canada;2713
Canada;2714
Canada;2715
Canada;2716
Canada;2717
Canada;2718
Canada;2720
Canada;2721
Canada;2722
Canada;2723
Canada;2724
Canada;2725
Canada;2726
Canada;2727
Canada;2760
Canada;2761
Canada;2763
Canada;2764
Canada;2811
Canada;2814
Canada;2815
Canada;2842
Canada;2905
Canada;2924
Canada;2933
Canada;2942
Canada;2960
Canada;2977
Canada;2978
Canada;2979
Canada;2980
Canada;2981
Canada;2982
Canada;2983
Canada;2984
Canada;2985
Canada;2986
Canada;2987
Canada;2988
Canada;2989
Canada;2990
Canada;2991
Canada;2992
Canada;2993
Canada;2994
Canada;2995
Canada;2996
Canada;2997
Canada;2998
Canada;2999
Canada;3000
Canada;3001
Canada;3002
Canada;3003
Canada;3004
Canada;3005
Canada;3006
Canada;3007
Canada;3008
Canada;3009
Canada;3010
Canada;3011
Canada;3012
Canada;3013
Canada;3014
Canada;3015
Canada;3016
Canada;3930
Canada;3931
Canada;3932
Canada;3933
Canada;3934
Canada;3935
Canada;3936
Canada;3937
Canada;3938
Canada;3939
Canada;3940
Canada;3941
Canada;3942
Canada;3943
Canada;3944
Canada;3945
Canada;3946
Canada;3947
Canada;3949
Canada;3950
Canada;3951
Canada;3952
Canada;3954
Canada;3955
Canada;3956
Canada;3957
Canada;3959
Canada;3960
Canada;3961
Canada;3962
Canada;3964
Canada;3965
Canada;3966
Canada;3967
Canada;3968
Canada;3969
Canada;3970
Canada;3971
Canada;3972
Canada;3973
Canada;3974
Canada;3977
Canada;3978
Canada;3979
Canada;3981
Canada;3982
Canada;3983
Canada;3984
Canada;3985
Canada;3986
Canada;3987
Canada;3988
Canada;3989
Canada;3990
Canada;3992
Canada;3993
Canada;3994
Canada;4076
Canada;4085
Canada;4089
Canada;5176
Canada;5177
Canada;5216
Canada;5217
Canada;5219
Canada;5220
Canada;5221
Canada;5223
Canada;5224
Canada;5225
Canada;5226
Canada;5227
Canada;5228
Canada;5229
Canada;5230
Canada;5231
Canada;5232
Canada;5233
Canada;5237
Canada;5238
Canada;5239
Canada;5240
Canada;5241
Canada;5242
Canada;5243
Canada;5244
Canada;5246
Canada;5247
Canada;5248
Canada;5249
Canada;5250
Canada;5251
Canada;5252
Canada;5253
Canada;5254
Canada;5255
Canada;5256
Canada;5257
Canada;5258
Canada;5259
Canada;5261
Canada;5262
Canada;5263
Canada;5264
Canada;5265
Canada;6111
Canada;6121
Canada;6161
Canada;6243
Canada;6244
Canada;6245
Canada;6246
Canada;6247
Canada;6248
Canada;6249
Canada;6250
Canada;6251
Canada;6252
Canada;6308
Canada;6319
Canada;6335
Canada;6337
Canada;6341
Canada;6351
Canada;6354
Canada;6368
Canada;6383
Canada;6384
Canada;6396
Canada;6398
Canada;6404
Canada;6419
Canada;6526
Canada;6542
Canada;6604
Canada;6605
Canada;6606
Canada;6609
Canada;6622
Canada;6626
Canada;6720
Canada;6734
Canada;6735
Canada;6743
Canada;6744
Canada;6749
Canada;6751
Canada;6759
Canada;6767
Canada;6769
Canada;6770
Canada;7542
Canada;7544
Canada;7646
Canada;7662
Canada;8307
Canada;8308
Canada;8309
Canada;8310
Canada;8311
Canada;8312
Canada;8313
Canada;8314
Canada;8315
Canada;8316
Canada;8317
Canada;8318
Canada;8319
Canada;8320
Canada;8321
Canada;8346
Canada;8347
Canada;8348
Canada;8350
Canada;8351
Canada;8352
Canada;8353
Canada;8359
Canada;8360
Canada;8363
Canada;8366
Canada;8370
Canada;8374
Canada;8376
Canada;8380
Canada;8382
Canada;8387
Canada;8388
Canada;8398
Canada;8403
Canada;8412
Canada;8414
Canada;8418
Canada;8420
Canada;8423
Canada;8426
Canada;8434
Canada;8438
Canada;8439
Canada;8440
Canada;8442
Canada;8444
Canada;8452
Canada;8456
Canada;8457
Canada;8461
Canada;8462
Canada;8466
Canada;8468
Canada;8471
Canada;8486
Canada;8488
Canada;8489
Canada;8492
Canada;8495
Canada;8498
Canada;8499
Canada;8500
Canada;8505
Canada;8506
Canada;8507
Canada;8513
Canada;8514
Canada;8520
Canada;8522
Canada;8523
Canada;8526
Canada;8528
